id,gender,age,education,work_experience,H_self,E_self,A_self,C_self,g_level,H_self_centered,E_self_centered,A_self_centered,C_self_centered,self_mean,self_std,self_max,self_min,self_range,H_minus_E,H_minus_A,H_minus_C,E_minus_A,E_minus_C,A_minus_C
60fccc84440f8e8c82ca0288,2,21.0,2,0.0,4.375,3.3125,3.875,4.0625,3,0.6875,0.15625,0.4375,0.53125,0.453125,0.22316963839196408,0.6875,0.15625,0.53125,0.53125,0.25,0.15625,-0.28125,-0.375,-0.09375
639881e5774909b88ee9389a,1,51.7,3,34.4,4.0625,2.3125,3.9375,4.625,1,0.53125,-0.34375,0.46875,0.8125,0.3671875,0.4969798107485521,0.8125,-0.34375,1.15625,0.875,0.0625,-0.28125,-0.8125,-1.15625,-0.34375
60e1d5f866e681d7e33fd01c,3,39.8,3,26.5,4.375,3.375,3.5625,4.375,2,0.6875,0.1875,0.28125,0.6875,0.4609375,0.26439666971868864,0.6875,0.1875,0.5,0.5,0.40625,0.0,-0.09375,-0.5,-0.40625
62ceba5fdab49dfc90278cbb,2,23.4,3,5.2,2.625,4.0,2.1875,4.25,1,-0.1875,0.5,-0.40625,0.625,0.1328125,0.506709539373068,0.625,-0.40625,1.03125,-0.6875,0.21875,-0.8125,0.90625,-0.125,-1.03125
6134113b9f3f724a7cf9e390,2,28.0,4,12.1,3.625,3.4375,2.875,3.25,1,0.3125,0.21875,-0.0625,0.125,0.1484375,0.16010860571811872,0.3125,-0.0625,0.375,0.09375,0.375,0.1875,0.28125,0.09375,-0.1875
61531a9bd8acf4e88e083892,1,45.5,3,23.2,3.8125,2.9375,4.5625,4.875,1,0.40625,-0.03125,0.78125,0.9375,0.5234375,0.43178936681172064,0.9375,-0.03125,0.96875,0.4375,-0.375,-0.53125,-0.8125,-0.96875,-0.15625
6373aee9c736637f71011482,2,18.0,2,3.9,2.75,4.1875,1.8125,4.0,2,-0.125,0.59375,-0.59375,0.5,0.09375,0.5584343814033421,0.59375,-0.59375,1.1875,-0.71875,0.46875,-0.625,1.1875,0.09375,-1.09375
60d64ec5cf4d757686ac4f14,1,20.0,3,1.0,3.0,3.125,3.3125,2.9375,3,0.0,0.0625,0.15625,-0.03125,0.046875,0.08267972847076846,0.15625,-0.03125,0.1875,-0.0625,-0.15625,0.03125,-0.09375,0.09375,0.1875
6296ecaf7ea72c4951583ffd,1,38.0,5,15.0,3.375,3.9375,3.75,4.625,2,0.1875,0.46875,0.375,0.8125,0.4609375,0.2619227283475033,0.8125,0.1875,0.625,-0.28125,-0.1875,-0.625,0.09375,-0.34375,-0.4375
5e1d0bdfdc1a170a132a6980,2,34.0,4,8.1,3.875,3.875,2.5625,3.625,3,0.4375,0.4375,-0.21875,0.3125,0.2421875,0.3128903811640748,0.4375,-0.21875,0.65625,0.0,0.65625,0.125,0.65625,0.125,-0.53125
5ba3de31fcf3440001cd4bc1,2,38.0,4,10.7,3.4375,3.25,3.3125,3.625,2,0.21875,0.125,0.15625,0.3125,0.203125,0.08267972847076846,0.3125,0.125,0.1875,0.09375,0.0625,-0.09375,-0.03125,-0.1875,-0.15625
59c664453306be000195bb0c,2,56.3,5,30.3,3.75,2.8125,3.375,4.25,3,0.375,-0.09375,0.1875,0.625,0.2734375,0.30338262248355624,0.625,-0.09375,0.71875,0.46875,0.1875,-0.25,-0.28125,-0.71875,-0.4375
62c8d159937c939dd4d139e3,1,30.1,2,14.6,3.625,2.5625,3.875,4.5625,1,0.3125,-0.21875,0.4375,0.78125,0.328125,0.41497050598004354,0.78125,-0.21875,1.0,0.53125,-0.125,-0.46875,-0.65625,-1.0,-0.34375
605776c7ffd8cb64476fc73f,2,40.6,4,17.7,3.5,3.0,3.5,3.6875,2,0.25,0.0,0.25,0.34375,0.2109375,0.14740595518838442,0.34375,0.0,0.34375,0.25,0.0,-0.09375,-0.25,-0.34375,-0.09375
638d3556e70c7bf15705e35b,1,67.0,4,37.0,3.75,3.5,3.5,4.0625,1,0.375,0.25,0.25,0.53125,0.3515625,0.1335000585205864,0.53125,0.25,0.28125,0.125,0.125,-0.15625,0.0,-0.28125,-0.28125
